logical_reasoning,verbal_ability,quantitative_aptitude,technical_skills,personality_type,interest_area,academic_performance,preferred_work_environment,career_path
3,2,6,7,Ambivert,Arts,9.18,Office,Financial Analyst
10,10,4,4,Extrovert,Programming,9.31,Office,Artist
1,9,9,9,Extrovert,Arts,6.58,Fieldwork,Artist
8,8,4,5,Ambivert,Science,9.26,Remote,Manager
5,9,1,4,Introvert,Arts,5.2,Fieldwork,Software Engineer
4,5,7,7,Ambivert,Finance,5.25,Fieldwork,Manager
8,2,7,4,Ambivert,Arts,8.12,Remote,Manager
7,8,4,3,Introvert,Science,5.32,Fieldwork,Manager
2,6,3,9,Ambivert,Science,6.62,Remote,Manager
1,8,8,8,Introvert,Science,8.36,Remote,Artist
4,5,5,1,Extrovert,Finance,6.69,Fieldwork,Software Engineer
8,10,10,7,Extrovert,Science,5.9,Remote,Manager
2,2,7,9,Introvert,Programming,6.41,Fieldwork,Artist
3,6,4,8,Extrovert,Science,7.29,Remote,Manager
1,5,4,8,Extrovert,Arts,7.38,Office,Data Scientist
1,5,8,6,Introvert,Arts,8.92,Remote,Manager
3,1,8,4,Extrovert,Arts,8.75,Remote,Manager
5,2,2,8,Ambivert,Finance,7.28,Fieldwork,Financial Analyst
3,8,2,3,Ambivert,Arts,9.23,Remote,Data Scientist
1,3,3,9,Introvert,Finance,5.57,Office,Software Engineer
1,10,3,2,Extrovert,Finance,6.28,Office,Manager
8,3,1,2,Ambivert,Science,9.14,Remote,Software Engineer
10,8,3,7,Ambivert,Programming,6.89,Remote,Data Scientist
2,8,6,10,Extrovert,Science,9.91,Office,Manager
3,2,8,4,Extrovert,Science,7.33,Fieldwork,Financial Analyst
2,8,10,10,Ambivert,Finance,8.96,Office,Artist
3,1,6,8,Ambivert,Finance,7.01,Office,Financial Analyst
7,6,5,9,Introvert,Arts,7.12,Remote,Financial Analyst
1,8,4,7,Introvert,Arts,6.91,Remote,Artist
10,3,3,5,Ambivert,Science,8.6,Office,Artist
8,8,4,8,Introvert,Management,7.74,Fieldwork,Artist
10,1,7,4,Ambivert,Management,9.72,Office,Manager
10,9,1,2,Ambivert,Arts,6.25,Office,Software Engineer
10,9,7,6,Introvert,Management,5.5,Fieldwork,Software Engineer
2,5,1,9,Introvert,Arts,6.97,Office,Artist
3,10,2,1,Extrovert,Finance,8.08,Office,Financial Analyst
9,4,4,10,Extrovert,Science,9.3,Remote,Data Scientist
7,6,1,7,Extrovert,Programming,6.73,Fieldwork,Artist
4,7,9,10,Ambivert,Science,8.27,Remote,Financial Analyst
10,5,6,9,Introvert,Arts,6.75,Remote,Financial Analyst
5,10,1,10,Ambivert,Arts,8.09,Fieldwork,Manager
2,9,1,9,Introvert,Science,9.42,Fieldwork,Manager
8,3,6,10,Ambivert,Arts,6.16,Office,Software Engineer
4,7,4,3,Extrovert,Management,7.02,Remote,Software Engineer
9,10,4,5,Extrovert,Management,9.97,Fieldwork,Data Scientist
5,10,6,8,Extrovert,Arts,9.34,Remote,Data Scientist
9,5,7,8,Ambivert,Arts,7.82,Remote,Data Scientist
4,7,9,4,Introvert,Management,7.58,Fieldwork,Data Scientist
10,2,10,1,Introvert,Arts,6.42,Office,Financial Analyst
5,4,5,1,Extrovert,Arts,7.59,Remote,Financial Analyst
9,2,9,4,Extrovert,Science,9.24,Fieldwork,Software Engineer
8,7,4,6,Extrovert,Programming,8.43,Office,Manager
3,2,10,8,Extrovert,Management,6.45,Remote,Manager
1,1,2,6,Introvert,Science,6.01,Fieldwork,Artist
3,9,3,9,Ambivert,Programming,6.33,Remote,Financial Analyst
4,1,1,9,Ambivert,Arts,5.85,Fieldwork,Data Scientist
2,8,6,2,Ambivert,Arts,5.48,Fieldwork,Data Scientist
1,2,6,10,Ambivert,Science,7.1,Remote,Artist
7,8,1,1,Extrovert,Arts,5.57,Remote,Manager
8,3,3,2,Extrovert,Finance,5.86,Fieldwork,Data Scientist
7,6,5,5,Extrovert,Science,7.74,Office,Manager
5,3,3,4,Ambivert,Programming,5.82,Remote,Artist
1,7,10,4,Extrovert,Science,5.32,Fieldwork,Manager
7,10,3,9,Extrovert,Management,6.59,Fieldwork,Manager
7,9,10,8,Introvert,Science,6.1,Office,Manager
9,2,3,6,Introvert,Arts,7.58,Office,Data Scientist
3,5,5,1,Extrovert,Arts,5.51,Office,Software Engineer
9,6,5,2,Introvert,Finance,8.76,Remote,Financial Analyst
1,4,4,6,Introvert,Finance,9.53,Fieldwork,Manager
1,4,1,2,Extrovert,Finance,8.72,Fieldwork,Manager
4,4,5,10,Extrovert,Programming,7.66,Fieldwork,Manager
9,2,10,5,Extrovert,Finance,9.3,Office,Software Engineer
6,4,5,5,Extrovert,Programming,8.47,Fieldwork,Artist
3,1,4,6,Ambivert,Finance,5.05,Remote,Data Scientist
1,6,6,6,Ambivert,Programming,6.97,Office,Software Engineer
4,1,10,6,Extrovert,Science,9.25,Office,Manager
9,10,4,2,Introvert,Science,6.73,Office,Software Engineer
3,6,7,10,Extrovert,Arts,5.18,Office,Software Engineer
9,1,7,3,Extrovert,Programming,8.73,Remote,Software Engineer
7,6,2,6,Introvert,Management,9.01,Fieldwork,Artist
4,10,3,8,Ambivert,Arts,5.8,Remote,Financial Analyst
3,8,1,1,Extrovert,Science,7.69,Fieldwork,Data Scientist
10,2,8,1,Extrovert,Programming,5.96,Remote,Artist
5,2,9,2,Ambivert,Finance,8.6,Office,Artist
5,4,4,6,Ambivert,Management,6.36,Office,Financial Analyst
3,3,6,9,Introvert,Science,6.58,Remote,Artist
9,4,9,4,Ambivert,Arts,9.22,Remote,Software Engineer
4,7,6,3,Ambivert,Programming,7.38,Fieldwork,Software Engineer
5,1,9,8,Ambivert,Management,8.35,Remote,Manager
4,6,4,10,Introvert,Programming,7.01,Remote,Artist
5,3,8,9,Ambivert,Finance,6.49,Fieldwork,Manager
7,10,9,5,Ambivert,Arts,8.13,Fieldwork,Data Scientist
9,7,4,9,Introvert,Programming,5.77,Fieldwork,Software Engineer
7,10,5,2,Ambivert,Science,6.86,Remote,Data Scientist
5,2,8,3,Ambivert,Arts,6.05,Fieldwork,Financial Analyst
10,2,10,7,Introvert,Science,8.48,Office,Software Engineer
10,4,6,7,Extrovert,Programming,9.72,Office,Data Scientist
7,1,7,6,Introvert,Arts,9.98,Office,Financial Analyst
10,3,3,6,Ambivert,Science,7.25,Remote,Data Scientist
5,9,7,2,Ambivert,Finance,6.26,Office,Financial Analyst
3,7,8,10,Ambivert,Finance,7.21,Remote,Financial Analyst
7,7,10,6,Introvert,Programming,9.24,Remote,Software Engineer
2,4,6,4,Ambivert,Arts,6.03,Office,Manager
9,2,10,3,Ambivert,Management,9.76,Fieldwork,Financial Analyst
10,4,9,2,Introvert,Arts,6.71,Remote,Financial Analyst
10,6,6,1,Extrovert,Finance,9.93,Office,Software Engineer
1,3,9,5,Extrovert,Science,9.19,Remote,Manager
6,1,4,2,Ambivert,Management,9.04,Fieldwork,Artist
7,8,8,2,Introvert,Programming,6.59,Fieldwork,Artist
8,5,4,7,Ambivert,Management,5.04,Office,Manager
10,5,2,8,Introvert,Programming,6.91,Remote,Data Scientist
9,4,10,10,Introvert,Management,6.51,Remote,Software Engineer
2,6,9,8,Extrovert,Programming,5.19,Remote,Manager
10,3,5,4,Extrovert,Programming,7.53,Remote,Artist
2,9,4,1,Introvert,Management,7.02,Office,Financial Analyst
5,5,2,7,Ambivert,Management,8.17,Fieldwork,Artist
5,3,1,1,Extrovert,Programming,8.11,Office,Financial Analyst
6,1,7,4,Ambivert,Finance,5.6,Remote,Software Engineer
3,10,6,8,Extrovert,Management,9.88,Remote,Financial Analyst
8,6,2,2,Extrovert,Arts,5.93,Fieldwork,Manager
1,2,8,6,Ambivert,Science,7.23,Remote,Financial Analyst
6,3,4,6,Extrovert,Programming,7.44,Office,Data Scientist
4,1,8,9,Extrovert,Programming,9.07,Office,Manager
1,9,7,5,Ambivert,Science,5.5,Fieldwork,Software Engineer
7,8,5,10,Extrovert,Finance,7.14,Office,Manager
9,2,10,4,Extrovert,Science,8.14,Office,Data Scientist
4,8,10,5,Extrovert,Management,6.08,Office,Software Engineer
4,9,8,10,Ambivert,Science,8.14,Office,Artist
6,1,9,5,Introvert,Programming,9.62,Remote,Data Scientist
3,5,5,8,Ambivert,Science,9.99,Office,Software Engineer
6,8,10,10,Introvert,Arts,5.16,Fieldwork,Financial Analyst
7,2,5,8,Extrovert,Management,6.18,Fieldwork,Manager
10,4,2,2,Introvert,Science,6.55,Office,Software Engineer
10,7,5,7,Ambivert,Programming,7.0,Fieldwork,Manager
3,3,3,8,Ambivert,Management,6.21,Office,Financial Analyst
7,5,7,6,Extrovert,Programming,6.02,Fieldwork,Software Engineer
3,8,10,5,Introvert,Finance,9.77,Fieldwork,Artist
2,10,5,9,Extrovert,Arts,9.59,Office,Data Scientist
10,3,8,3,Extrovert,Finance,5.23,Office,Software Engineer
4,4,1,10,Ambivert,Arts,6.69,Remote,Financial Analyst
8,9,3,4,Introvert,Science,7.03,Office,Software Engineer
9,7,3,9,Introvert,Management,6.2,Office,Manager
7,1,9,6,Introvert,Science,8.14,Remote,Software Engineer
1,4,5,8,Introvert,Arts,8.2,Office,Artist
3,4,9,7,Extrovert,Arts,9.25,Office,Software Engineer
9,9,9,2,Extrovert,Arts,8.7,Remote,Data Scientist
1,6,1,3,Ambivert,Programming,7.71,Office,Software Engineer
9,9,2,1,Extrovert,Management,8.27,Office,Manager
8,6,5,9,Extrovert,Science,6.37,Remote,Software Engineer
1,6,4,7,Ambivert,Science,7.97,Remote,Artist
6,5,10,1,Ambivert,Finance,7.45,Fieldwork,Financial Analyst
5,5,9,3,Ambivert,Arts,5.67,Office,Software Engineer
6,2,7,4,Extrovert,Arts,6.21,Fieldwork,Software Engineer
10,8,6,4,Extrovert,Arts,6.46,Fieldwork,Data Scientist
5,8,7,5,Ambivert,Science,9.62,Remote,Artist
6,1,1,3,Ambivert,Finance,6.15,Office,Financial Analyst
5,8,1,3,Ambivert,Programming,6.45,Office,Manager
5,5,8,1,Extrovert,Management,6.85,Remote,Software Engineer
4,2,2,7,Extrovert,Programming,8.32,Fieldwork,Financial Analyst
3,2,10,10,Introvert,Science,5.59,Remote,Manager
3,6,9,1,Extrovert,Arts,9.77,Office,Artist
4,9,7,2,Extrovert,Management,9.33,Remote,Artist
9,1,6,4,Extrovert,Science,7.89,Office,Financial Analyst
2,6,1,4,Ambivert,Science,8.37,Fieldwork,Manager
9,9,1,5,Extrovert,Science,5.08,Office,Artist
1,8,2,2,Ambivert,Management,6.69,Fieldwork,Financial Analyst
1,6,6,4,Introvert,Management,8.98,Fieldwork,Artist
5,3,6,1,Introvert,Finance,5.39,Office,Artist
6,8,2,2,Ambivert,Finance,6.41,Office,Artist
6,9,1,1,Ambivert,Programming,7.93,Fieldwork,Data Scientist
3,1,10,10,Ambivert,Management,6.28,Remote,Manager
7,9,5,10,Extrovert,Management,9.67,Office,Financial Analyst
9,6,5,4,Introvert,Management,5.66,Fieldwork,Financial Analyst
10,6,2,4,Ambivert,Finance,8.99,Fieldwork,Manager
8,4,6,7,Extrovert,Science,7.54,Remote,Manager
6,1,9,10,Introvert,Arts,8.75,Office,Manager
8,10,2,9,Extrovert,Finance,6.55,Fieldwork,Manager
5,8,10,9,Introvert,Management,7.57,Remote,Software Engineer
8,2,2,5,Extrovert,Finance,9.28,Fieldwork,Financial Analyst
10,1,3,10,Introvert,Programming,7.33,Office,Software Engineer
4,2,7,1,Introvert,Management,6.8,Remote,Artist
10,1,6,1,Extrovert,Programming,7.68,Fieldwork,Artist
8,1,8,6,Ambivert,Management,8.59,Remote,Financial Analyst
10,9,8,2,Introvert,Finance,7.22,Office,Artist
2,1,6,8,Ambivert,Science,9.69,Remote,Manager
5,4,10,9,Extrovert,Arts,6.47,Office,Software Engineer
9,10,3,4,Ambivert,Programming,7.38,Fieldwork,Manager
4,6,3,5,Ambivert,Finance,8.78,Office,Artist
6,7,1,8,Ambivert,Science,8.45,Fieldwork,Software Engineer
1,2,7,3,Ambivert,Finance,9.32,Fieldwork,Manager
9,6,5,5,Ambivert,Programming,9.98,Office,Financial Analyst
1,7,4,3,Introvert,Arts,7.13,Fieldwork,Manager
5,10,10,10,Introvert,Finance,5.56,Remote,Artist
4,10,4,3,Introvert,Management,5.15,Fieldwork,Software Engineer
3,2,4,3,Extrovert,Science,8.63,Office,Financial Analyst
6,2,6,7,Ambivert,Finance,9.37,Remote,Software Engineer
2,10,8,7,Introvert,Science,6.1,Remote,Financial Analyst
3,7,8,7,Extrovert,Management,5.79,Fieldwork,Software Engineer
5,1,5,10,Introvert,Arts,5.31,Fieldwork,Artist
9,8,6,8,Introvert,Arts,9.11,Office,Financial Analyst
2,3,4,5,Ambivert,Management,6.56,Remote,Data Scientist
10,6,9,5,Extrovert,Science,7.01,Office,Software Engineer
8,9,8,4,Ambivert,Finance,7.51,Fieldwork,Software Engineer
2,6,10,7,Ambivert,Management,9.2,Remote,Manager
5,9,10,10,Introvert,Programming,8.25,Office,Financial Analyst
7,7,1,4,Ambivert,Science,8.08,Office,Data Scientist
8,9,2,2,Extrovert,Arts,5.88,Office,Artist
1,2,9,4,Ambivert,Management,7.57,Office,Manager
6,8,8,8,Ambivert,Arts,8.58,Office,Data Scientist
1,8,3,9,Ambivert,Science,9.87,Remote,Financial Analyst
2,2,8,3,Introvert,Arts,6.01,Office,Data Scientist
1,4,1,7,Extrovert,Management,5.05,Remote,Software Engineer
5,7,10,9,Introvert,Science,5.38,Office,Software Engineer
10,4,4,4,Introvert,Programming,6.88,Fieldwork,Manager
9,4,3,10,Introvert,Management,9.1,Fieldwork,Financial Analyst
6,6,6,3,Introvert,Finance,5.04,Office,Financial Analyst
1,10,7,5,Introvert,Management,7.28,Fieldwork,Data Scientist
1,6,4,1,Extrovert,Science,6.65,Remote,Manager
2,10,7,3,Ambivert,Management,5.26,Office,Financial Analyst
9,3,9,8,Introvert,Programming,7.25,Remote,Software Engineer
3,9,2,8,Introvert,Programming,6.27,Office,Data Scientist
1,10,3,4,Extrovert,Finance,6.76,Fieldwork,Artist
5,2,5,2,Extrovert,Arts,8.53,Remote,Software Engineer
7,6,3,8,Ambivert,Science,7.61,Fieldwork,Manager
6,7,8,8,Extrovert,Science,5.62,Fieldwork,Financial Analyst
1,9,10,10,Ambivert,Arts,9.81,Office,Software Engineer
5,3,8,4,Introvert,Programming,8.18,Remote,Artist
5,10,8,3,Introvert,Programming,8.83,Fieldwork,Artist
6,3,9,2,Ambivert,Management,5.4,Office,Manager
3,7,4,9,Extrovert,Finance,5.24,Office,Software Engineer
5,4,5,1,Ambivert,Finance,5.1,Office,Data Scientist
7,8,5,7,Extrovert,Finance,5.94,Fieldwork,Software Engineer
5,7,8,5,Introvert,Management,7.07,Office,Artist
5,5,7,8,Extrovert,Finance,9.68,Remote,Manager
5,7,9,4,Ambivert,Arts,7.29,Remote,Manager
10,3,8,7,Ambivert,Management,6.45,Fieldwork,Data Scientist
10,2,2,5,Introvert,Arts,7.81,Remote,Manager
3,6,10,5,Extrovert,Management,5.56,Office,Manager
1,2,4,9,Extrovert,Finance,8.05,Fieldwork,Manager
5,3,6,9,Extrovert,Arts,7.84,Office,Manager
9,6,2,9,Introvert,Arts,8.96,Fieldwork,Manager
1,5,7,6,Extrovert,Arts,9.93,Fieldwork,Artist
3,8,3,6,Ambivert,Management,6.25,Office,Software Engineer
4,9,3,5,Extrovert,Science,7.55,Remote,Financial Analyst
1,3,2,9,Introvert,Finance,9.54,Remote,Manager
1,10,8,10,Extrovert,Arts,8.93,Fieldwork,Financial Analyst
8,3,6,8,Extrovert,Science,7.44,Office,Financial Analyst
2,3,1,7,Ambivert,Finance,9.73,Office,Artist
8,6,1,7,Extrovert,Finance,5.29,Fieldwork,Manager
7,1,7,6,Ambivert,Arts,9.65,Remote,Financial Analyst
10,7,8,5,Ambivert,Arts,5.25,Office,Manager
10,1,5,4,Introvert,Management,7.74,Remote,Data Scientist
2,5,5,3,Ambivert,Science,9.45,Remote,Data Scientist
6,10,4,3,Ambivert,Science,6.31,Fieldwork,Data Scientist
6,8,6,6,Introvert,Arts,7.36,Fieldwork,Financial Analyst
3,4,6,4,Ambivert,Finance,6.62,Remote,Data Scientist
2,5,3,6,Introvert,Arts,9.76,Office,Artist
1,4,9,3,Extrovert,Finance,9.12,Office,Artist
6,4,7,4,Introvert,Finance,8.55,Fieldwork,Financial Analyst
5,8,1,9,Ambivert,Arts,7.94,Remote,Manager
9,2,7,5,Introvert,Programming,9.1,Office,Software Engineer
1,1,5,7,Ambivert,Science,6.96,Office,Manager
7,3,5,10,Extrovert,Finance,7.24,Fieldwork,Manager
5,9,2,2,Introvert,Finance,8.65,Remote,Manager
5,4,4,5,Extrovert,Programming,6.79,Office,Manager
2,10,6,9,Ambivert,Management,5.32,Fieldwork,Software Engineer
3,5,10,3,Ambivert,Programming,5.37,Office,Data Scientist
7,2,7,9,Extrovert,Programming,5.58,Office,Manager
6,4,5,6,Introvert,Finance,9.35,Office,Artist
2,2,9,4,Introvert,Science,7.36,Fieldwork,Financial Analyst
6,2,3,7,Ambivert,Programming,8.56,Remote,Financial Analyst
2,4,1,8,Extrovert,Management,6.96,Fieldwork,Artist
2,6,4,6,Extrovert,Arts,6.29,Remote,Manager
2,7,9,5,Introvert,Programming,6.74,Office,Software Engineer
3,10,4,6,Introvert,Programming,8.97,Remote,Data Scientist
2,3,2,5,Introvert,Management,8.13,Office,Financial Analyst
4,3,10,8,Extrovert,Science,9.69,Office,Data Scientist
9,10,5,1,Introvert,Programming,8.4,Fieldwork,Software Engineer
6,6,3,7,Introvert,Programming,7.85,Office,Financial Analyst
1,3,9,10,Ambivert,Science,8.05,Fieldwork,Data Scientist
8,2,4,10,Introvert,Management,9.71,Remote,Software Engineer
7,8,6,2,Introvert,Programming,8.94,Remote,Data Scientist
10,5,2,9,Extrovert,Science,5.12,Office,Manager
3,1,6,1,Extrovert,Programming,7.67,Fieldwork,Software Engineer
1,3,3,10,Ambivert,Arts,8.44,Office,Data Scientist
5,10,9,6,Introvert,Finance,8.74,Fieldwork,Manager
4,8,2,9,Ambivert,Arts,6.07,Fieldwork,Manager
10,4,9,1,Extrovert,Programming,9.34,Fieldwork,Software Engineer
8,7,5,4,Ambivert,Management,9.78,Remote,Artist
1,10,8,4,Extrovert,Finance,6.18,Fieldwork,Financial Analyst
10,2,2,9,Ambivert,Arts,9.41,Remote,Software Engineer
1,7,6,5,Ambivert,Science,5.48,Fieldwork,Manager
4,5,3,5,Introvert,Management,5.28,Remote,Manager
8,5,10,6,Ambivert,Arts,5.65,Remote,Software Engineer
5,6,5,1,Introvert,Science,5.29,Remote,Artist
2,9,8,1,Introvert,Programming,9.23,Office,Financial Analyst
6,6,10,9,Introvert,Science,5.3,Fieldwork,Data Scientist
5,8,1,3,Introvert,Arts,6.36,Office,Software Engineer
2,7,5,4,Ambivert,Arts,5.52,Fieldwork,Financial Analyst
3,9,3,1,Extrovert,Programming,6.48,Fieldwork,Financial Analyst
9,4,4,9,Extrovert,Science,5.45,Office,Manager
7,2,2,8,Extrovert,Science,8.34,Remote,Data Scientist
7,7,9,2,Ambivert,Programming,5.67,Fieldwork,Software Engineer
6,6,3,8,Introvert,Science,9.26,Remote,Manager
8,1,2,7,Extrovert,Programming,9.09,Office,Manager
4,9,10,6,Ambivert,Management,5.07,Remote,Artist
8,9,9,1,Introvert,Arts,9.48,Fieldwork,Financial Analyst
4,2,7,7,Extrovert,Management,5.14,Fieldwork,Software Engineer
8,3,6,10,Introvert,Finance,6.2,Fieldwork,Software Engineer
9,5,1,7,Extrovert,Finance,5.16,Office,Software Engineer
3,5,5,9,Extrovert,Finance,6.68,Fieldwork,Manager
3,1,3,1,Extrovert,Programming,7.57,Office,Artist
2,8,1,2,Introvert,Science,8.98,Remote,Data Scientist
10,8,4,9,Ambivert,Management,6.69,Fieldwork,Manager
3,4,2,9,Introvert,Management,8.53,Fieldwork,Data Scientist
3,7,2,6,Extrovert,Management,5.94,Fieldwork,Artist
5,10,3,6,Introvert,Management,8.75,Remote,Financial Analyst
5,3,8,4,Ambivert,Finance,6.18,Fieldwork,Software Engineer
2,6,8,4,Introvert,Management,5.72,Office,Data Scientist
10,10,7,5,Ambivert,Science,5.93,Remote,Manager
6,10,6,3,Ambivert,Finance,5.91,Remote,Data Scientist
5,9,9,1,Introvert,Management,7.56,Remote,Financial Analyst
6,1,4,1,Extrovert,Programming,9.22,Remote,Software Engineer
1,5,1,7,Ambivert,Arts,5.4,Remote,Data Scientist
5,4,8,1,Introvert,Arts,8.53,Office,Financial Analyst
9,8,7,1,Ambivert,Arts,8.27,Remote,Manager
10,1,7,3,Extrovert,Finance,9.36,Fieldwork,Artist
2,9,3,10,Introvert,Management,6.22,Remote,Manager
1,6,4,4,Introvert,Finance,7.25,Remote,Software Engineer
10,4,10,4,Introvert,Science,9.63,Remote,Manager
9,9,9,2,Extrovert,Programming,8.3,Remote,Manager
10,5,6,1,Ambivert,Programming,6.94,Remote,Manager
9,5,5,3,Introvert,Arts,5.66,Office,Manager
9,5,3,4,Ambivert,Arts,6.31,Office,Software Engineer
6,1,9,3,Ambivert,Arts,7.91,Remote,Financial Analyst
8,1,5,8,Extrovert,Management,8.59,Office,Data Scientist
1,8,5,10,Introvert,Science,5.62,Fieldwork,Artist
10,8,4,1,Ambivert,Science,8.0,Remote,Data Scientist
4,6,4,2,Introvert,Science,7.75,Fieldwork,Data Scientist
1,4,1,7,Introvert,Science,7.57,Fieldwork,Artist
8,2,7,4,Extrovert,Arts,8.45,Remote,Software Engineer
1,2,9,8,Introvert,Programming,9.19,Fieldwork,Artist
3,9,3,3,Introvert,Arts,6.61,Fieldwork,Software Engineer
4,5,2,6,Ambivert,Science,9.45,Fieldwork,Data Scientist
8,4,3,9,Extrovert,Arts,5.8,Remote,Software Engineer
6,10,1,1,Introvert,Science,5.87,Remote,Financial Analyst
10,1,6,1,Ambivert,Finance,6.33,Fieldwork,Artist
7,7,7,8,Extrovert,Programming,5.6,Remote,Financial Analyst
8,3,2,3,Extrovert,Finance,6.15,Remote,Data Scientist
2,6,8,5,Ambivert,Management,5.53,Fieldwork,Artist
10,5,6,1,Ambivert,Arts,9.11,Remote,Data Scientist
8,5,4,5,Ambivert,Management,5.69,Office,Financial Analyst
3,5,5,6,Ambivert,Arts,8.74,Remote,Data Scientist
7,1,8,8,Ambivert,Finance,5.24,Office,Artist
3,1,3,3,Introvert,Science,9.74,Fieldwork,Artist
7,3,3,3,Introvert,Science,8.56,Remote,Data Scientist
2,10,4,10,Extrovert,Arts,5.03,Fieldwork,Artist
10,4,1,9,Introvert,Science,8.82,Fieldwork,Artist
6,5,9,4,Introvert,Finance,7.57,Fieldwork,Data Scientist
3,2,8,4,Introvert,Science,8.9,Fieldwork,Financial Analyst
3,8,8,7,Ambivert,Finance,7.61,Fieldwork,Artist
9,2,10,2,Extrovert,Management,8.21,Remote,Artist
7,9,6,8,Extrovert,Finance,8.93,Office,Artist
5,2,7,6,Extrovert,Programming,7.03,Remote,Artist
10,9,6,3,Extrovert,Programming,5.01,Remote,Data Scientist
7,7,9,9,Introvert,Programming,9.25,Remote,Financial Analyst
9,8,3,5,Introvert,Arts,6.9,Remote,Financial Analyst
1,2,3,8,Ambivert,Arts,7.48,Office,Software Engineer
7,7,3,7,Extrovert,Arts,5.04,Remote,Artist
6,6,10,8,Introvert,Finance,7.46,Fieldwork,Artist
10,4,3,7,Introvert,Arts,9.93,Remote,Software Engineer
9,7,9,3,Ambivert,Management,6.39,Remote,Financial Analyst
1,4,4,2,Ambivert,Programming,6.98,Office,Manager
4,2,7,7,Ambivert,Finance,8.44,Office,Manager
9,10,9,3,Introvert,Programming,9.07,Fieldwork,Financial Analyst
4,7,7,3,Introvert,Arts,7.09,Remote,Artist
10,8,9,2,Ambivert,Finance,6.55,Remote,Manager
3,2,3,4,Extrovert,Science,9.69,Remote,Data Scientist
9,5,4,8,Ambivert,Management,8.39,Fieldwork,Data Scientist
2,1,8,1,Ambivert,Arts,5.6,Office,Software Engineer
4,7,6,1,Ambivert,Arts,5.34,Fieldwork,Financial Analyst
6,8,5,5,Ambivert,Management,7.42,Remote,Financial Analyst
2,6,4,5,Introvert,Management,6.1,Office,Manager
8,5,8,1,Extrovert,Science,6.27,Office,Artist
8,6,1,6,Ambivert,Arts,9.39,Fieldwork,Financial Analyst
1,2,9,1,Extrovert,Arts,5.45,Office,Manager
3,1,1,5,Extrovert,Programming,8.58,Office,Manager
10,7,8,9,Extrovert,Finance,6.36,Remote,Financial Analyst
9,7,4,5,Ambivert,Finance,8.8,Remote,Manager
5,10,9,6,Introvert,Programming,8.61,Office,Software Engineer
6,10,5,8,Ambivert,Finance,5.04,Office,Software Engineer
4,2,3,1,Extrovert,Management,7.55,Fieldwork,Financial Analyst
10,2,9,2,Extrovert,Finance,5.7,Fieldwork,Artist
2,1,9,9,Introvert,Finance,9.33,Office,Software Engineer
8,10,4,3,Ambivert,Programming,9.36,Remote,Software Engineer
6,8,4,6,Extrovert,Science,7.09,Office,Financial Analyst
5,8,8,5,Introvert,Finance,7.22,Office,Data Scientist
9,1,2,2,Extrovert,Finance,6.52,Remote,Manager
1,8,9,7,Introvert,Science,8.58,Remote,Software Engineer
5,9,6,4,Introvert,Programming,6.79,Fieldwork,Data Scientist
6,4,9,1,Ambivert,Science,6.34,Fieldwork,Artist
5,1,8,4,Extrovert,Programming,7.16,Fieldwork,Data Scientist
6,1,7,6,Ambivert,Management,5.46,Fieldwork,Financial Analyst
6,3,1,7,Extrovert,Programming,8.73,Remote,Artist
7,5,3,7,Ambivert,Management,5.06,Office,Artist
4,5,2,7,Extrovert,Management,8.22,Fieldwork,Data Scientist
8,9,5,3,Ambivert,Programming,5.91,Fieldwork,Financial Analyst
7,10,5,6,Introvert,Arts,6.16,Remote,Software Engineer
9,2,5,8,Extrovert,Programming,8.18,Remote,Data Scientist
7,2,4,4,Extrovert,Finance,9.96,Office,Software Engineer
3,6,5,8,Introvert,Finance,8.89,Office,Data Scientist
3,9,3,2,Ambivert,Arts,6.13,Remote,Software Engineer
8,1,1,10,Extrovert,Management,5.88,Fieldwork,Data Scientist
5,9,5,9,Extrovert,Arts,9.33,Fieldwork,Artist
4,9,9,9,Ambivert,Finance,7.22,Fieldwork,Manager
8,9,9,8,Introvert,Arts,5.69,Office,Artist
6,5,4,10,Ambivert,Programming,9.31,Fieldwork,Software Engineer
2,9,3,10,Ambivert,Arts,9.08,Fieldwork,Financial Analyst
4,4,1,1,Ambivert,Management,9.92,Remote,Artist
4,2,2,2,Extrovert,Programming,9.55,Fieldwork,Manager
6,6,8,6,Introvert,Science,9.26,Remote,Software Engineer
6,4,1,10,Introvert,Finance,5.26,Fieldwork,Artist
1,6,8,5,Ambivert,Finance,5.52,Office,Data Scientist
8,3,7,9,Extrovert,Arts,7.84,Fieldwork,Financial Analyst
6,6,8,5,Ambivert,Programming,7.66,Fieldwork,Software Engineer
3,2,6,2,Extrovert,Science,7.29,Remote,Artist
9,2,9,10,Extrovert,Programming,6.98,Remote,Software Engineer
2,9,3,4,Extrovert,Finance,7.16,Remote,Data Scientist
8,7,10,9,Extrovert,Programming,7.85,Fieldwork,Manager
10,3,4,1,Introvert,Science,5.01,Fieldwork,Artist
3,1,6,1,Extrovert,Arts,6.3,Office,Software Engineer
5,8,8,7,Extrovert,Management,7.59,Fieldwork,Software Engineer
6,6,5,3,Ambivert,Programming,8.61,Office,Software Engineer
10,7,3,10,Ambivert,Management,5.87,Remote,Manager
6,9,6,2,Introvert,Finance,7.73,Remote,Software Engineer
4,5,4,9,Ambivert,Arts,8.57,Remote,Financial Analyst
